D8,1381351
D9,718363
L8,312913
D11,274153
D10,240501
L3D6,187805
L9,170543
L2D6,140431
L10,131951
D12,105972
L3D7,104750
L4D4,88396
L2D7,83390
D6,74164
L6D3,69611
L6D4,68833
L4D6,61854
L11,60930
L1D7,60280
D6L3,59892
D6L2,56992
L7D3,55664
L5D4,52724
L12,50611
L3D8,49407
L5D3,46594
L2D8,44630
L7D4,42849
L6D6,39213
D7L3,36550
L5D6,33810
D5,31842
D7L2,30584
L6D2,30525
L3D5,30315
D14,29460
L1D8,29236
L4D7,27382
L1D9,26160
D7L1,25729
L7D6,23727
L8D4,22813
L8D3,21109
L13,19848
L14,19565
L7D2,18897
D6L4,17819
L7D1,16538
L5D7,16393
L2D9,15815
L3D9,15241
L6D7,15153
D8L2,14934
L4D8,14036
D4L4,13372
L8D6,13279
D8L3,13265
D8L1,12798
L9D4,12522
D13,12410
L9D3,12274
L8D2,11769
L4D5,10786
L3D11,10474
L7D7,10441
L6D8,9879
D7L4,9108
D7,8865
L10D4,8743
D9L1,8742
L5D8,8663
L5D5,8520
L15,8301
L10D3,7428
L9D6,7309
L8D1,7101
D6L6,6983
L2D11,6811
L1D6L1,6627
D6L5,6564
L7D8,6498
D4,6386
L6,6339
L9D1,6215
L3D3L3,5821
L3D10,5694
L8D7,5595
D1L1D1L1D1L1D1L1,5404
L1D1L1D1L1D1L1D1,5396
L6D5,5280
D3L6,5048
L7,4970
D7S1,4890
L11D4,4878
D1L3D1L3,4856
L2D10,4776
L4D9,4644
D9L3,4631
L10D6,4586
D5L3,4574
L1D11,4566
L11D3,4464
D8L4,4425
D6S2,4229
L3D4L3,4198
L9D2,4177
D9L2,4075
L8D8,4041
L3S1D4,3952
L2D4L2,3935
D7L5,3917
L16,3904
D15,3884
D4L6,3737
L7D5,3620
L1D10,3549
D3L3D3,3322
D3L5,3277
D4L5,3261
D11L3,3251
D7L6,3230
D16,3132
L1D7L1,3126
L9D7,3085
L2D6L2,3037
D6L7,2950
L10D2,2941
D2L6,2934
L4D11,2869
L12D4,2788
L3S1D6,2788
L2D4L3,2504
L5D9,2494
L12D3,2486
L3D3L3D3,2484
L3D6L3,2481
L3D2L3,2363
D9S1,2354
D11L2,2297
D8S1,2282
L3D12,2240
L6D9,2220
L3D3L2,2194
D7S2,2176
L10D1,2137
L4S1D4,2132
D3L7,2128
L1D8L1,2061
D11L1,2036
D1L7,2030
L7S1,2021
D6L8,1966
D5L5,1965
D8L5,1951
L3D4S1,1943
D10L3,1816
D8L6,1813
L4D10,1806
L4D1L3,1796
L4S1D3,1782
D7L7,1750
D1L6D1,1727
L5D11,1726
L8D5,1710
D4L7,1709
L3D4L2,1690
L6S1D4,1682
L7D9,1660
D5L4,1656
L6S1D3,1632
D18,1610
L4S1L3,1553
L2D12,1529
L5S1D4,1528
D20,1498
L3D4,1474
D3L2D3,1464
D10L2,1428
L11D2,1426
L3D6S1,1423
D9L4,1387
L2S1D6,1375
L1D3L1D3,1356
D2L7,1354
D1L1D1L1D1L1D1L1D1L1,1341
D6S3,1336
L5D1L2,1333
L3D1L4,1332
L7S1D4,1332
D1S1D7,1328
D10L1,1317
L13D3,1277
L5S1D3,1258
L11D1,1258
L4D3L3,1257
L2D3L3,1256
L2D4L2D4,1238
L3D4L1,1223
L7S1D3,1204
L3D4L3D4,1198
D11L4,1188
L3S1D7,1186
L2D7L2,1184
D6S1L3,1179
D4L3D4,1178
L5,1168
D3L8,1150
L4D3L2,1134
D2L8,1129
